"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_multiplication_of_numbers[macos-webkit]","tests.pytest","2026-01-01","passed","2026-01-01","","test_parametrization","",""
"","0","test_1","tests.pytest","2026-01-01","passed","2026-01-01","TestUserLogin","test_pytest","",""
"","0","test_numbers[1-1]","tests.pytest","2026-01-01","passed","2026-01-01","","test_parametrization","",""
"","0","test_assert_postivie_case","tests.pytest","2026-01-01","passed","2026-01-01","","test_pytest","",""
"","0","test_user_can_create_course","tests.pytest","2026-01-01","passed","2026-01-01","TestUserFlow","test_fixtures","",""
"","0","test_user_without_operations[Zara]","tests.pytest","2026-01-01","passed","2026-01-01","TestOperations","test_parametrization","",""
"","0","test_password_reset","tests.pytest","2026-01-01","passed","2026-01-01","TestUserAuthentication","test_markers","",""
"","0","test_identifiers[+700004560101: User with operations on bank account]","tests.pytest","2026-01-01","passed","2026-01-01","","test_parametrization","",""
"","0","test_identifiers[+7000000000001: User with money on bank account]","tests.pytest","2026-01-01","passed","2026-01-01","","test_parametrization","",""
"","0","test_open_browser[chromium]","tests.pytest","2026-01-01","passed","2026-01-01","","test_parametrization","",""
"","0","test_forgot_password_link","tests.pytest","2026-01-01","passed","2026-01-01","TestUserInterface","test_markers","",""
"","3044","Navigation from login page to registration page","tests.authentication","2026-01-01","passed","2026-01-01","TestAuthorization","test_authorization","",""
"","0","test_user_login","tests.pytest","2026-01-01","passed","2026-01-01","","test_pytest","",""
"","2932","Авторизация с невалидной почтой или паролем","tests.authentication","2026-01-01","passed","2026-01-01","TestAuthorization","test_authorization","",""
"","3026","Авторизация с невалидной почтой или паролем","tests.authentication","2026-01-01","passed","2026-01-01","TestAuthorization","test_authorization","",""
"","4415","Успешная авторизация с корректной почтой и паролем","tests.authentication","2026-01-01","passed","2026-01-01","TestAuthorization","test_authorization","",""
"","0","test_system_version_invalid","tests.pytest","2026-01-01","skipped","2026-01-01","","test_pytest_skipif","",""
"","0","test_identifiers[+7000000000321: User without money on bank account]","tests.pytest","2026-01-01","passed","2026-01-01","","test_parametrization","",""
"","3335","Registration with correct email, username and password","tests.authentication","2026-01-01","passed","2026-01-01","TestRegistration","test_registration","",""
"","3014","Check displaying of dashboard page","tests.dahboard","2026-01-01","passed","2026-01-01","TestDashboard","test_dashboard","",""
"","0","test_2","tests.pytest","2026-01-01","passed","2026-01-01","TestUserLogin","test_pytest","",""
"","0","test_with_bug","tests.pytest","2026-01-01","skipped","2026-01-01","","test_pytest_xfail","",""
"","0","test_multiplication_of_numbers[windows-webkit]","tests.pytest","2026-01-01","passed","2026-01-01","","test_parametrization","",""
"","0","test_multiplication_of_numbers[windows-chromium]","tests.pytest","2026-01-01","passed","2026-01-01","","test_parametrization","",""
"","0","test_reruns","tests.pytest","2026-01-01","passed","2026-01-01","","test_reruns","",""
"","1","test_smoke_case","tests.pytest","2026-01-01","passed","2026-01-01","","test_markers","",""
"","3374","Создать курс","tests.courses","2026-01-01","passed","2026-01-01","TestCourses","test_courses","",""
"","0","test_numbers[3-9]","tests.pytest","2026-01-01","passed","2026-01-01","","test_parametrization","",""
"","0","test_multiplication_of_numbers[cygwin-chromium]","tests.pytest","2026-01-01","passed","2026-01-01","","test_parametrization","",""
"","0","test_login_button","tests.pytest","2026-01-01","passed","2026-01-01","TestUserInterface","test_markers","",""
"","0","test_feature_in_development_2","tests.pytest","2026-01-01","skipped","2026-01-01","TestSuiteSkip","test_pytest_skip","",""
"","0","test_multiplication_of_numbers[windows-firefox]","tests.pytest","2026-01-01","passed","2026-01-01","","test_parametrization","",""
"","0","test_user_without_operations[Alice]","tests.pytest","2026-01-01","passed","2026-01-01","TestOperations","test_parametrization","",""
"","0","test_read_book_from_library","tests.pytest","2026-01-01","passed","2026-01-01","TestLibrary","test_usefixtures","",""
"","0","test_rerun_2","tests.pytest","2026-01-01","failed","2026-01-01","TestReruns","test_reruns","",""
"","0","test_read_all_books_in_library","tests.pytest","2026-01-01","passed","2026-01-01","","test_usefixtures","",""
"","0","test_numbers[2-4]","tests.pytest","2026-01-01","passed","2026-01-01","","test_parametrization","",""
"","0","test_delete_book_from_library","tests.pytest","2026-01-01","passed","2026-01-01","TestLibrary","test_usefixtures","",""
"","0","test_user_with_operations[Debit card-Alice]","tests.pytest","2026-01-01","passed","2026-01-01","TestOperations","test_parametrization","",""
"","0","test_multiplication_of_numbers[macos-chromium]","tests.pytest","2026-01-01","passed","2026-01-01","","test_parametrization","",""
"","0","test_feature_in_development","tests.pytest","2026-01-01","skipped","2026-01-01","","test_pytest_skip","",""
"","0","test_case","tests.pytest","2026-01-01","passed","2026-01-01","TestSuite","test_markers","",""
"","0","test_example","tests.pytest","2026-01-01","failed","2026-01-01","","test_pytest","",""
"","0","test_open_browser[firefox]","tests.pytest","2026-01-01","passed","2026-01-01","","test_parametrization","",""
"","0","test_logout","tests.pytest","2026-01-01","passed","2026-01-01","TestUserAuthentication","test_markers","",""
"","4085","test_edit_course","tests.courses","2026-01-01","passed","2026-01-01","TestCourses","test_courses","",""
"","0","test_multiplication_of_numbers[linux-webkit]","tests.pytest","2026-01-01","passed","2026-01-01","","test_parametrization","",""
"","0","test_critical_login","tests.pytest","2026-01-01","passed","2026-01-01","","test_markers","",""
"","1","test_user_account","tests.pytest","2026-01-01","passed","2026-01-01","TestAccountFlow","test_fixtures","",""
"","0","test_system_version_valid","tests.pytest","2026-01-01","passed","2026-01-01","","test_pytest_skipif","",""
"","0","test_regression_case","tests.pytest","2026-01-01","passed","2026-01-01","","test_markers","",""
"","1","test_user_with_operations[Credit card-Alice]","tests.pytest","2026-01-01","passed","2026-01-01","TestOperations","test_parametrization","",""
"","1","test_multiplication_of_numbers[linux-firefox]","tests.pytest","2026-01-01","passed","2026-01-01","","test_parametrization","",""
"","0","test_assert_negative_case","tests.pytest","2026-01-01","failed","2026-01-01","","test_pytest","",""
"","0","test_signup_form","tests.pytest","2026-01-01","passed","2026-01-01","TestUserInterface","test_markers","",""
"","3312","Авторизация с невалидной почтой или паролем","tests.authentication","2026-01-01","passed","2026-01-01","TestAuthorization","test_authorization","",""
"","0","test_rerun_with_condition","tests.pytest","2026-01-01","passed","2026-01-01","","test_reruns","",""
"","0","test_without_bug","tests.pytest","2026-01-01","passed","2026-01-01","","test_pytest_xfail","",""
"","0","test_feature_in_development_1","tests.pytest","2026-01-01","skipped","2026-01-01","TestSuiteSkip","test_pytest_skip","",""
"","0","test_user_with_operations[Credit card-Zara]","tests.pytest","2026-01-01","passed","2026-01-01","TestOperations","test_parametrization","",""
"","0","test_multiplication_of_numbers[cygwin-firefox]","tests.pytest","2026-01-01","passed","2026-01-01","","test_parametrization","",""
"","2843","Check displaying of empty courses list","tests.courses","2026-01-01","passed","2026-01-01","TestCourses","test_courses","",""
"","0","test_multiplication_of_numbers[macos-firefox]","tests.pytest","2026-01-01","passed","2026-01-01","","test_parametrization","",""
"","0","test_login","tests.pytest","2026-01-01","passed","2026-01-01","TestUserAuthentication","test_markers","",""
"","0","test_user_with_operations[Debit card-Zara]","tests.pytest","2026-01-01","passed","2026-01-01","TestOperations","test_parametrization","",""
